Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All industries,30.512,30.569,31.576,33.236,35.113,34.923,34.851,36.729,38.427,40.554,41.838,41.731,42.79,42.019,43.945,47.125,49.09,50.79,52.547,54.742,56.752,57.822,57.76,59.794,61.44,63.916,65.631,68.107,71.136,74.324,77.857,81.07,81.88,83.306,85.689,88.945,92.07,94.698,96.475,96.343,93.899,96.306,97.8,100,101.842,104.415,107.451,109.211,111.799,115.072
Private industries,27.983,28.144,29.3,31.25,33.112,32.875,32.747,34.743,36.464,38.516,39.801,39.449,40.541,39.652,41.865,45.057,47.067,48.883,50.42,52.666,54.589,55.516,55.449,57.618,59.402,62.104,63.747,66.757,70.417,73.791,77.614,81.097,81.675,83.128,85.527,89.042,92.473,95.475,97.063,96.46,93.523,95.938,97.577,100,101.886,104.833,108.266,110.049,112.867,116.441
"Agriculture, forestry, fishing, and hunting",33.221,33.788,35.205,35.626,34.479,34.424,40.511,38.513,39.514,38.16,41.444,42.026,52.738,55.861,42.032,53.628,62.081,59.971,62.318,55.607,61.622,65.475,65.575,72.944,64.831,76.478,64.265,71.712,78.122,76.225,78.531,90.102,86.959,90.001,96.987,104.744,109.218,111.013,98.327,100.402,111.362,107.954,103.799,100,116.603,117.923,125.752,131.765,129.793,127.954
Farms,30.284,31.126,32.764,32.763,32.389,31.671,37.684,35.863,37.749,36.315,39.774,38.641,51.048,53.519,36.989,49.351,58.475,55.946,56.486,50.225,57.065,61.591,61.94,71.544,63.412,76.767,61.12,70.718,79.295,76.516,78.438,92.819,86.006,89.664,97.414,107.28,113.323,111.13,97.074,99.687,114.614,110.82,105.745,100,120.733,121.937,130.521,138.168,135.822,131.92
"Forestry, fishing, and related activities",54.215,51.455,50.193,54.77,45.343,53.736,58.068,54.775,48.416,47.795,49.424,63.177,60.358,67.785,74.385,78.464,81.13,81.838,95.102,85.948,86.534,86.074,84.748,80.718,72.531,77.649,78.534,76.715,73.802,75.317,78.99,81.795,90.973,91.766,95.975,94.965,93.264,108.69,101.038,100.749,96.915,94.888,94.458,100,96.638,98.394,103.212,103.958,103.191,107.54
Mining,80.062,79.971,76.196,77.485,79.163,65.455,57.133,58.006,59.345,59.907,50.085,49.757,45.548,43.238,42.789,46.91,51.061,57.248,58.23,65.708,62.433,62.237,64.65,61.88,65.597,72.02,74.269,70.107,73.569,76.54,74.233,65.831,76.178,78.193,69.241,69.643,70.809,81.679,87.975,85.158,97.66,86.193,89.398,100,103.938,115.332,125.082,117.847,126.275,130.409
Oil and gas extraction,163.443,160.902,154.542,157.418,152.679,112.324,102.145,103.007,99.957,103.864,77.578,70.481,62.135,60.113,59.166,61.957,70.441,91.398,90.979,98.441,91.9,88.043,90.151,84.284,85.82,95.313,104.765,90.39,90.875,91.304,83.169,61.645,72.103,82.781,66.78,66.272,65.447,74.402,80.363,76.243,102.995,81.18,81.267,100,105.624,119.953,161.27,169.464,173.069,173.747
"Mining, except oil and gas",58.189,59.277,54.972,55.35,60.395,53.424,44.259,45.402,53.193,53.433,55.314,54.121,54.619,53.889,54.293,63.135,61.985,61.322,61.776,76.028,77.162,81.33,87.693,88.844,91.162,102.966,99.242,108.429,115.53,134.396,142.684,140.63,136.125,124.746,126.9,122.583,123.694,126.306,128.879,118.371,111.044,113.053,112.672,100,102.563,100.758,93.511,90.154,98.596,101.228
Support activities for mining,16.256,16.332,16.488,17.23,17.813,19.679,16.783,17.047,15.018,13.286,10.067,16.315,15.371,12.917,12.938,16.679,16.8,11.682,14.083,16.115,14.029,15.241,15.572,14.389,20.57,19.873,18.393,18.167,22.578,21.207,20.455,27.733,41.52,32.139,34.848,40.436,49.131,72.102,81.862,91.407,68.121,76.49,95.573,100,99.571,112.177,74.642,46.65,59.841,70.96
Utilities,62.696,63.29,65.996,67.549,69.886,69.386,72.815,68.977,65.196,65.228,65.871,69.528,73.542,67.278,66.722,70.629,73.142,71.981,79.26,76.283,82.841,86.767,84.223,85.281,84.351,85.744,86.419,86.156,82.684,78.993,92.023,93.244,77.009,79.706,77.93,82.678,78.378,83.261,84.935,89.475,84.828,95.043,98.68,100,98.916,95.102,94.941,99.769,101.498,101.33
Construction,97.7,93.022,93.22,94.362,97.768,92.549,85.602,95.155,97.331,100.732,100.936,95.626,90.345,84.797,90.668,100.162,107.261,110.528,113.852,117.709,118.659,116.747,108.04,109.501,112.356,117.78,118.427,123.761,124.924,130.646,136.033,141.541,138.629,134.131,136.316,141.182,141.809,138.846,134.563,121.446,104.296,98.928,97.334,100,102.485,104.396,109.25,112.975,115.58,118.118
Manufacturing,33.34,32.351,33.596,36.819,39.822,37.339,34.739,38.246,40.816,43.142,43.891,40.808,41.716,39.574,43.645,47.358,48.771,50.12,53.245,56.609,56.83,56.513,55.834,58.013,59.983,63.537,66.159,68.907,73.952,76.995,81.273,87.116,83.415,84.146,88.809,95.078,97.97,103.527,106.948,104.777,95.141,100.289,100.663,100,103.068,104.832,105.731,105.187,107.925,112.157
Durable goods,22.619,21.408,22.294,24.75,27.535,26.182,23.997,25.891,27.844,29.572,30.116,28.307,28.945,25.855,27.838,31.774,32.598,33.569,35.683,38.72,39.126,38.571,37.478,38.603,39.812,42.558,46.169,49.978,54.862,59.373,63.518,70.928,66.355,67.757,72.791,78.019,83.413,89.812,93.989,94.526,80.927,91.144,97.29,100,102.463,103.973,105.504,105.917,109.486,114.663
Wood products,68.896,88.318,80.084,80.897,75.896,78.375,82.69,89.631,88.653,85.745,90.668,85.571,84.127,78.327,93.369,104.11,108.907,123.574,133.391,135.27,130.736,127.873,115.722,104.089,88.617,93.65,102.928,100.801,97.185,98.161,96.593,98.72,94.84,95.975,95.513,93.941,102.519,100.719,105.19,98.317,83.611,89.011,98.619,100,102.546,93.818,100.566,107.299,115.269,111.336
Nonmetallic mineral products,86.201,82.569,84.105,93.742,99.527,94.963,85.527,90.383,93.001,95.765,94.739,84.52,77.641,63.47,76.941,84.793,88.186,94.287,90.188,96.452,98.996,95.022,84.405,95.751,94.499,101.668,103.375,101.568,114.74,113.927,115.817,115.525,112.656,111.216,114.57,122.348,124.685,116.679,116.564,109.837,88.986,90.831,95.002,100,105.995,107.397,108.185,107.249,110.309,111.935
Primary metals,141.033,124.711,127.364,139.304,155.602,143.991,118.648,115.824,113.09,125.209,119.349,110.179,115.669,83.896,75.574,84.597,75.819,82.413,78.164,78.432,78.299,78.006,77.919,82.932,85.991,84.622,76.474,79.991,81.908,87.596,93.108,94.236,88.184,90.778,87.303,95.682,87.897,79.878,78.359,82.124,76.611,77.77,86.068,100,106.143,103.829,113.279,119.778,105.545,103.521
Fabricated metal products,73.095,66.834,64.669,71.598,81.269,74.848,66.205,72.864,76.586,79.58,84.665,81.873,81.882,69.885,72.85,79.65,81.779,81.883,85.485,89.926,89.084,87.685,82.195,84.191,87.116,97.029,101.808,104.958,107.537,105.084,106.077,113.341,101.014,96.6,100.639,104.796,107.084,111.431,115.698,109.729,83.089,91.203,96.907,100,99.411,101.095,97.419,94.473,99.964,105.422
Machinery,47.858,55.367,61.861,82.157,92.701,91.007,80.845,84.733,91.566,96.882,99.112,92.71,92.757,76.981,70.244,76.148,74.772,68.416,74.009,85.632,89.023,85.684,76.039,75.494,74.634,77.565,82.066,79.181,80.667,87.207,82.904,85.311,77.021,71.912,71.41,79.118,84.941,90.593,94.242,96.083,77.497,86.646,99.002,100,99.473,98.317,87.932,80.591,84.122,88.869
Computer and electronic products,0.232,0.232,0.243,0.275,0.325,0.352,0.371,0.426,0.51,0.601,0.713,0.866,1.019,1.034,1.282,1.575,1.818,1.955,2.306,2.632,2.812,3.08,3.257,3.645,4.048,4.925,6.749,9.011,11.992,15.254,18.77,28.127,26.94,29.377,37.74,44.142,50.626,60.825,69.872,81.425,83.41,94.313,96.51,100,103.08,108.45,118.475,124.416,128.324,137.225
"Electrical equipment, appliances, and components",69.648,65.409,66.239,73.91,84.259,76.614,70.655,76.849,85.966,91.721,93.013,88.116,90.728,76.609,83.293,91.682,92.664,94.635,98.096,100.53,104.168,102.24,97.696,99.727,102.662,108.801,106.169,103.417,108.433,90.364,99.492,104.795,99.337,99.277,106.949,100.542,101.4,117.185,109.732,117.906,98.389,101.37,97.91,100,110.062,102.883,117.452,108.193,119.164,119.939
"Motor vehicles, bodies and trailers, and parts",49.635,39.449,47.838,47.526,54.77,45.742,42.253,52.843,60.758,61.572,56.32,38.864,40.259,33.576,42.741,53.743,54.141,53.99,53.917,60.355,58.155,48.123,44.708,50.823,57.594,65.776,68.192,67.697,70.863,78.916,83.891,86.447,78.451,88.988,96.551,99.484,104.968,116.074,110.677,86.246,37.557,75.483,95.495,100,104.337,108.193,106.013,110.277,113.893,120.992
Other transportation equipment,99.074,85.532,77.276,77.953,80.296,82.403,75.555,71.059,71.007,76.065,79.645,78.074,65.584,81.448,83.842,92.288,90.73,101.997,111.68,110.144,106.801,107.879,115.186,96.257,88.36,71.487,68.777,76.691,75.267,77.736,82.568,75.433,76.841,71.938,68.648,70.381,80.943,84.514,98.86,98.276,95.822,98.254,102.15,100,102.885,105.232,109.46,107.489,109.931,116.25
Furniture and related products,88.073,82.195,84.975,97.08,103.063,95.201,85.286,98.173,105.947,115.116,110.521,113.652,112.264,100.839,117.099,131.039,131.611,134.542,142.061,143.157,145.048,134.101,124.611,136.614,145.178,143.371,144.661,151.5,162.749,164.871,172.154,179.108,160.578,157.42,153.779,165.3,174.357,177.58,161.317,138.092,100.605,100.985,102.316,100,106.935,113.489,120.865,122.586,120.531,125.118
Miscellaneous manufacturing,25.655,24.384,24.959,27.406,28.832,27.286,28.249,29.586,31.956,32.021,30.874,26.111,30.763,30,30.302,33.637,36.265,36.052,38.566,48.989,48.479,51.627,51.257,52.566,52.247,52.358,54.399,61.268,67.306,69.41,71.885,75.172,71.008,74.119,75.457,79.7,84.103,89.981,91.479,97.542,99.832,103.629,100.778,100,97.482,99.12,94.845,100.765,107.89,112.708
Nondurable goods,56.075,56.579,58.51,62.87,65.007,59.581,56.721,64.384,67.896,71.206,72.316,66.078,67.519,70.232,80.248,80.525,83.443,85.465,90.712,93.471,92.916,93.562,94.572,99.414,103.139,107.901,106.183,104.746,108.774,106.919,110.673,111.745,110.5,109.712,113.126,120.927,118.785,122.532,124.516,118.051,114.724,112.361,104.898,100,103.817,105.9,106.004,104.238,105.923,108.991
Food and beverage and tobacco products,63.7,65.322,65.414,71.26,75.285,72.102,73.925,87.58,85.49,86.299,83.007,90.494,84.613,92.628,97.859,92.334,95.576,92.275,96.718,103.775,96.563,97.336,99.496,101.491,102.373,108.601,122.281,103.521,103.341,102.391,103.767,102.667,103.916,98.15,101.54,103.698,103.53,115.166,116.245,110.187,112.623,106.395,103.252,100,102.207,102.263,106.05,102.052,106.172,111.954
Textile mills and textile product mills,83.206,87.479,89.569,90.98,86.347,76.383,91.31,96.007,108.253,116.685,123.903,119.019,113.489,107.79,127.875,128.494,130.901,138.671,147.199,152.903,157.381,157.895,159.636,177.648,183.824,189.095,180.958,178.5,180.686,177.419,185.64,193.811,170.338,165.642,136.477,167.289,157.884,150.79,144.186,134.67,104.591,104.261,92.379,100,106.107,110.779,107.538,107.468,109.701,110.714
Apparel and leather and allied products,202.613,201.895,203.241,200.744,219.261,225.562,225.411,239.458,243.717,257.572,253.294,254.236,257.578,237.126,251.257,246.521,238.416,239.136,239.261,244.894,245.683,240.826,243.617,254.274,252.594,259.318,254.486,245.452,237.43,212.952,197.443,200.107,177.655,166.604,144.438,139.845,136.181,129.506,119.669,118.108,96.251,105.94,104.601,100,100.179,95.755,89.552,87.145,83.675,82.038
Paper products,97.383,93.358,96.429,105.528,115.295,98.638,83.84,98.023,106.53,114.699,114.29,104.918,106.368,109.488,119.48,119.14,125.416,130.86,130.684,134.307,130.423,131.202,136.536,140.602,150.39,151.805,129.091,140.496,145.502,135.196,142.402,133.999,116.358,119.91,117.665,125.5,122.364,130.132,122.138,109.051,114.301,105.246,101.195,100,100.68,101.291,102.037,99.678,91.518,92.727
Printing and related support activities,55.176,52.876,53.356,56.529,59.083,57.374,57.733,59.948,64.993,68.914,74.561,70.955,72.6,72.309,78.107,84.155,87.362,89.227,92.739,100.295,102.847,103.393,98.627,102.66,95.678,96.944,98.762,95.072,93.633,93.525,94.662,98.388,98.505,103.171,103.973,106.186,107.944,110.316,113.298,111.858,96.4,97.848,100.422,100,101.789,100.794,97.774,98.734,96.564,98.776
Petroleum and coal products,12.111,14.841,15.603,18.65,10.206,13.927,10.316,14.223,14.817,15.448,23.206,14.286,16.818,23.193,43.961,49.916,55.991,66.012,73.442,81.424,81.196,67.066,65.273,73.447,91.005,85.889,77.766,89.674,113.221,125.588,118.646,116.928,141.635,123.348,162.923,184.858,183.36,158.444,160.391,172.022,160.569,134.612,110.614,100,111.282,126.218,126.919,105.966,124.01,127.972
Chemical products,49.383,50.496,54.356,58.089,62.623,51.972,46.257,52.322,56.903,61.041,58.43,47.612,50.903,51.553,59.657,60.255,61.383,64.056,71.297,68.708,69.982,75.379,75.946,80.318,82.688,89.673,84.844,86.733,90.273,86.77,92.938,95.392,94.365,100.544,100.907,109.175,104.959,117.14,122.919,111.297,107.679,114.231,106.629,100,103.168,102.756,98.748,103.166,101.541,103.096
Plastics and rubber products,39.33,35.821,39.591,44.863,50.042,41.739,36.316,37.786,43.728,45.396,45.227,42.155,46.431,44.263,50.425,53.342,57.532,59.042,63.148,64.351,69.255,68.955,71.21,76.035,81.712,87.142,84.489,91.093,96.968,98.167,107.441,114.567,106.532,105.192,109.021,117.925,116.792,108.835,110.382,95.776,94.628,100.21,98.141,100,99.637,99.242,108.265,109.251,108.472,111.138
Wholesale trade,12.444,13.373,15.034,17.075,17.934,18.673,19.522,20.435,22.495,24.232,25.958,25.766,27.868,28.233,30.045,33.426,35.627,39.695,38.406,40.493,43.564,43.326,45.653,49.35,51.198,54.104,54.051,60.888,68.023,74.707,77.183,81.126,82.663,83.546,88.159,91.924,96.071,98.749,102.073,101.967,89.701,95.04,96.794,100,102.293,106.201,110.759,109.317,111.297,113.09
Retail trade,28.077,28.611,29.865,31.741,33.138,31.813,33.262,35.552,36.806,38.508,38.675,36.239,37.052,36.539,39.593,42.915,44.893,46.799,46.931,51.243,53.229,53.801,53.652,56.078,59.302,63.344,66.155,71.402,76.897,84.286,87.388,90.31,93.582,97.689,102.703,104.467,107.851,108.686,105.144,101.29,97.02,99.094,99.277,100,103.112,105.005,108.513,112.262,116.226,120.332
