NEA Sector,NAICS,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
63,332,1.726,2.203,2.073,1.875,1.911,2.084,2.411,2.512,3.091,4.762,5.155,5.574,5.239,4.889,5.625,6.375,6.274,5.2,5.567,5.667,5.679,5.575,5.45,5.465,4.2,4.043,5.134,5.073
64,332,3.45,4.233,4.314,4.075,4.535,4.907,5.337,5.8,6.548,9.869,11.65,12.872,12.559,13.222,15.001,15.612,14.444,13.754,15.618,15.727,15.717,15.36,13.67,13.579,13.17,14.967,24.562,17.606
65,332,8.899,10.328,10.315,10.41,11.918,12.348,13.651,15.613,16.883,17.149,19.353,22.264,25.43,25.416,24.976,27.702,28.241,28.354,29.794,31.111,31.02,30.445,29.642,30.431,29.545,28.546,33.719,33.866
66,333,1.737,2.01,1.945,2.034,2.542,2.808,3.194,3.538,4.036,4.159,4.63,5.531,5.456,5.831,6.217,7.042,6.964,7.186,7.899,8.025,8.363,8.293,8.346,8.862,8.233,7.659,8.803,8.4
67,333,1.972,2.218,1.87,2.092,2.358,2.627,2.928,3.115,3.76,3.6,3.866,3.978,5.033,4.842,5.135,6.244,6.305,6.674,6.746,7.131,6.815,7.415,7.111,7.014,6.213,5.583,5.874,5.304
68,333,4.156,5.261,4.893,4.954,5.804,6.097,7.189,7.745,7.96,8.052,8.424,9.24,9.479,9.526,10.782,11.87,12.283,12.874,14.573,14.3,15.45,15.971,15.97,16.697,15.32,13.083,12.991,12.265
69,333,0.85,1.048,1.836,1.423,1.105,0.877,0.665,0.679,1.119,1.89,2.078,1.986,2.392,2.726,2.627,3.047,2.945,3.163,2.941,2.996,3.105,3.247,3.059,2.972,2.804,2.576,2.807,2.798
70,333,4.197,4.831,5.122,5.159,5.824,6.176,6.722,7.612,8.482,9.424,11.471,11.321,10.925,11.222,11.741,12.416,12.195,12.198,12.44,12.747,12.481,12.751,12.785,13.17,11.274,9.962,11.059,11.362
71,333,2.774,3.136,3.398,3.316,3.385,3.436,4.057,4.593,5.381,5.203,5.719,6.35,6.438,6.456,6.814,7.223,7.541,7.715,7.411,6.868,7.169,6.777,6.594,6.587,7.079,5.981,6.755,7.316
72,333,4.538,5.521,5.544,5.521,6.336,6.824,7.619,8.718,9.632,9.103,10.12,11.222,12.024,11.659,12.594,13.921,13.689,14.392,14.552,15.531,16.168,16.583,16.613,16.83,16.189,15.381,16.928,16.477
73,333,1.993,2.508,2.375,2.501,2.753,3.18,3.675,3.903,4.241,6.739,6.241,6.957,8.093,8.131,7.558,8.936,8.008,10.24,10.219,10.192,11.111,10.926,11.078,11.021,10.508,10.206,10.101,8.912
74,334,1.628,1.897,2.228,2.412,2.634,2.726,3.774,3.91,5.371,4.661,5.855,7.899,8.015,8.336,9.134,9.745,9.325,10.212,10.048,9.561,11.25,12.488,14.19,15.537,17.604,20.485,17.397,20.687
75,333,2.286,2.593,2.566,2.457,2.644,2.986,3.17,3.552,3.996,4.176,4.545,5.47,6.261,7.81,9.492,10.086,9.284,8.629,8.588,9.694,10.776,9.182,8.584,9.024,9.059,9.316,10.328,9.993
76,335,8.32,11.117,10.504,9.562,11.06,11.515,12.861,14.672,16.149,16.59,17.677,19.373,20.339,20.068,20.736,22.098,22.026,19.592,18.649,19.854,20.732,22.383,21.142,20.558,19.932,19.642,21.228,19.932
77,334,0.763,0.985,0.937,0.885,0.991,0.822,0.869,0.992,1.082,1.207,1.338,1.43,1.457,1.376,1.623,1.721,1.896,2,1.817,2.021,2.1,2.498,2.905,3.133,3.015,3.237,3.823,3.422
78,335,4.848,5.411,5.507,5.544,5.906,6.09,6.52,6.725,7.367,7.732,8.465,8.649,8.523,7.793,8.636,9.339,8.592,8.366,8.68,9.257,9.302,9.051,8.484,8.16,8.35,8.224,8.852,8.247
79,335,2.59,3.009,2.962,3.02,3.337,3.47,3.862,4.466,4.999,5.159,5.715,6.452,6.964,6.848,7.742,8.346,7.786,7.599,7.906,7.96,8.005,7.923,7.618,7.809,8.607,9.4,8.947,9.099
80,334,3.467,4.282,5.217,6.37,8.151,10.233,10.359,12.273,14.815,15.627,18.254,19.742,19.957,20.09,20.418,20.54,18.93,19.118,18.08,18.961,19.795,20.172,21.233,22.208,23.289,23.556,26.286,28.354
81,334,3.961,5.353,5.893,6.032,7.401,7.036,7.653,10.328,13.331,14.273,15.317,17.268,17.855,17.637,19.718,20.83,19.674,19.005,19.622,20.489,21.476,24.399,25.821,28.191,29.809,30.055,36.652,36.675
82,335,2.324,2.781,2.771,2.736,3.119,3.231,3.344,3.822,4.616,4.35,4.992,5.544,5.916,6.35,6.868,7.612,7.445,7.309,7.964,8.946,9.585,9.288,8.451,8.703,8.55,8.693,9.988,9.684
83,336,23.952,28.688,31.643,29.784,34.786,37.74,40.023,46.537,40.866,43.677,54.531,52.559,48.256,54.654,58.622,65.685,54.565,53.586,60.546,65.791,66.853,64.59,55.545,57.947,53.935,59.332,67.002,68.172
84,336,17.115,18.033,17.531,18.091,19.66,19.947,18.899,20.131,24.287,28.668,31.135,34.779,31.483,29.146,27.596,28.337,25.444,23.881,23.277,23.956,25.283,27.525,30.135,28.356,29.769,31.272,32.711,33.076
85,336,4.347,4.64,4.59,4.369,4.979,5.369,6.155,6.746,7.101,6.881,6.885,7.888,8.837,8.892,9.897,10.357,10.851,11.32,11.553,11.129,11.544,12.212,12.059,11.785,10.247,8.674,9.113,9.324
86,321,0.191,0.236,0.221,0.196,0.217,0.312,0.362,0.381,0.372,0.411,0.571,0.72,0.956,1.116,1.431,1.387,1.02,0.793,0.966,1.021,1.045,0.824,0.775,0.76,0.816,0.982,0.938,0.948
87,334,2.665,3.19,3.589,4.187,4.398,3.842,4.245,4.514,4.579,4.941,5.8,6.64,7.619,7.902,8.158,9.093,8.533,9.223,9.376,10.349,10.582,10.293,10.292,10.312,11.028,11.52,12.376,13.006
88,333,1.617,1.716,1.733,1.651,1.73,1.972,2.18,2.644,3.32,3.62,3.842,4.34,4.344,4.501,5.104,5.05,4.992,5.65,6.063,6.336,6.656,7.14,7.23,7.462,7.618,7.815,8.731,8.582
89,339,4.514,5.227,5.398,5.316,6.449,7.851,8.274,8.632,8.22,8.397,9.557,11.267,11.229,12.727,14.259,14.273,13.501,13.027,12.7,14.068,13.611,12.603,12.354,12.388,12.463,12.376,12.655,11.894
90,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,500,0.142,0.15,0.154,0.179,0.186,0.211,0.225,0.243,0.285,0.315,0.339,0.356,0.39,0.414,0.417,0.443,0.476,0.501,0.494,0.578,0.615,0.641,0.681,0.649,0.633,0.664,0.716,0.754
92,500,1.08,1.147,1.209,1.461,1.614,1.973,2.141,2.353,2.663,2.989,3.303,3.572,3.995,4.469,4.956,5.484,5.488,5.85,6.196,6.575,6.959,7.466,8.149,8.493,8.637,8.884,9.59,10.134
93,500,0.259,0.286,0.293,0.334,0.347,0.394,0.438,0.462,0.565,0.612,0.65,0.642,0.682,0.664,0.695,0.749,0.745,0.78,0.8,0.851,0.977,1.013,1.11,1.194,1.166,1.139,1.147,1.119
94,500,0.188,0.213,0.24,0.287,0.305,0.358,0.405,0.469,0.603,0.757,0.894,1.01,1.104,1.141,1.197,1.354,1.341,1.465,1.531,1.684,1.894,2.141,2.393,2.486,2.568,2.737,2.918,3.087
95,500,0.025,0.026,0.026,0.033,0.031,0.033,0.038,0.041,0.043,0.045,0.05,0.055,0.063,0.07,0.07,0.076,0.075,0.087,0.095,0.106,0.114,0.122,0.133,0.14,0.144,0.135,0.128,0.122
96,500,0.063,0.072,0.076,0.089,0.095,0.112,0.127,0.14,0.173,0.199,0.214,0.24,0.272,0.29,0.306,0.351,0.365,0.404,0.444,0.515,0.595,0.655,0.729,0.772,0.831,0.908,1.005,1.095
97,500,17.886,18.865,19.687,20.411,21.24,22.052,23.069,24.208,25.406,26.569,27.856,29.248,30.422,31.575,33.086,37.362,35.212,36.819,37.368,37.645,45.724,50.3,54.875,59.444,62.403,65.28,68.487,71.879
98,500,2.021,2.11,2.217,2.278,2.311,2.414,2.466,2.608,2.625,2.634,2.643,2.651,2.656,2.68,2.683,2.685,2.692,2.715,2.745,2.813,1.928,1.836,1.767,1.653,1.681,1.61,1.55,1.488
99,500,41.395,52.143,14.518,11.174,12.324,11.379,12.915,12.645,12.437,13.372,14.419,15.027,15.634,16.613,18.452,19.653,18.725,17.773,19.203,22.4,23.43,33.547,27.05,26.839,32.728,29.647,30.995,24.867
100,500,0.017,0.021,0.014,0.034,0.048,0.055,0.058,0.061,0.068,0.089,0.13,0.15,0.269,0.508,0.747,1.153,1.436,2.156,2.344,3.132,3.726,4.589,3.668,3.967,5.183,4.877,5.404,5.371
101,500,5.661,6.128,1.686,1.14,1.314,1.051,1.116,1.146,0.952,1.119,1.017,1.092,0.993,1.095,1.119,1.15,1.177,1.133,0.945,0.846,1.163,1.634,1.225,1.061,1.817,1.745,1.636,1.03
102,500,2.638,3.664,1.041,0.792,0.884,0.822,0.904,0.822,0.798,0.87,0.921,0.962,0.989,1.024,1.17,1.252,1.17,1.177,1.239,1.549,1.658,2.354,1.935,1.976,2.444,2.04,2.159,1.782
103,500,0,0,0,0,0,0,0.003,0,0.014,0.031,0.058,0.055,0.038,0.038,0.044,0.075,0.116,0.191,0.246,0.413,0.426,0.563,0.341,0.316,0.491,0.336,0.503,0.354
104,500,1.256,1.894,0.56,0.618,0.771,0.662,0.751,0.737,0.686,0.822,0.908,1.01,0.925,0.969,1.013,1.048,1.181,1.044,0.986,0.809,1.136,1.498,1.269,1.201,1.763,1.612,1.462,1.11
105,500,4.074,4.971,1.321,0.952,0.989,0.986,1,1.058,1.007,1.027,1.143,1.126,1.051,1.041,1.174,1.307,1.095,1.044,1.215,1.269,1.303,1.713,1.45,1.384,1.459,1.358,1.306,1.203
106,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.092,0.038,0.058,0.283,0.269,0.447,0.334,0.391,0.605,0.548,0.481,0.195
107,500,6.452,6.616,1.802,1.317,1.423,1.208,1.399,1.402,1.3,1.491,1.43,1.535,1.549,1.737,1.846,1.822,1.993,1.979,1.999,1.709,2.191,3.013,2.283,2.206,3.288,3.158,3.164,2.198
108,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,500,25.554,24.974,30.703,37.909,43.638,50.845,56.573,64.07,69.589,76.786,82.506,89.701,95.422,104.664,114.223,123.457,132.731,141.787,151.302,160.525,169.759,177.758,193.143,185.444,179.802,182.852,186.101,186.975
111,500,35.504,39.666,41.429,48.575,52.225,60.702,66.94,74.124,83.252,89.041,96.475,104.764,114.896,121.181,132.336,144.653,144.333,151.659,158.492,168.21,177.15,187.646,202.651,207.577,210.062,216.542,232.709,241.31
112,500,77.501,86.338,90.506,105.578,113.045,131.99,145.7,161.726,181.487,194.18,212.974,232.662,253.866,272.837,306.917,333.513,323.232,339.034,354.786,375.343,388.688,398.252,419.758,422.576,428.336,452.39,486.091,513.339
113,500,14.867,16.543,17.605,21.346,23.023,27.084,29.92,32.612,36.362,39.674,44.101,48.665,53.75,57.528,62.847,68.508,68.043,72.559,75.6,80.772,82.659,85.687,92.755,94.407,96.281,101.705,106.831,112.65
114,500,4.065,4.518,4.6,5.384,5.85,6.864,7.537,8.213,8.948,9.531,10.495,11.726,13.292,15.312,17.449,18.985,18.051,18.147,18.725,20.459,21.655,22.731,23.831,23.391,22.73,24.21,26.31,28.2
115,500,30.162,33.498,34.941,41.651,45.071,52.575,57.989,63.77,71.486,76.208,82.318,87.948,93.886,97.071,103.977,111.641,108.426,114.031,118.69,125.09,118.924,114.605,112.402,105.564,99.047,105.224,114.483,121.158
116,500,4.691,5.418,5.898,7.257,8.192,9.947,11.367,12.907,15.092,16.879,18.813,21.404,24.074,25.639,28.927,32.845,33.373,35.566,38.04,42.188,44.478,47.095,50.921,51.524,51.147,56.453,64.234,70.613
117,500,13.972,15.823,16.725,19.798,21.551,25.056,28.435,32.608,37.597,40.57,45.209,50.712,56.822,62.733,70.586,79.219,80.692,89.041,97.77,108.208,115.935,122.679,132.874,136.491,141.539,152.496,165.613,177.388
118,500,3.35,3.783,4.022,4.843,5.304,6.201,6.866,7.505,8.445,9.127,10.079,11.034,12.165,13.078,14.452,16.083,15.762,16.986,18.292,20.038,19.852,18.781,17.588,15.609,14.227,15.426,17.303,18.712
119,500,6.883,7.585,7.873,9.347,9.951,11.515,12.644,13.899,15.51,16.762,18.315,20.122,21.918,23.317,25.608,28.132,27.802,30.932,33.108,35.268,35.176,34.609,36.698,35.992,35.618,37.537,37.751,39.82
120,500,38.779,42.892,45.534,54.792,59.795,71.772,79.622,88.501,100.784,113.91,129.3,142.132,158.652,173.335,192.02,210.386,213.537,236.077,254.521,273.776,273.524,274.479,293.67,292.708,295.737,311.256,323.354,341.661
121,500,4.703,5.177,5.458,6.575,7.037,8.089,8.757,9.576,11.331,12.404,13.294,14.181,15.541,16.433,16.916,17.676,17.341,17.952,17.807,18.115,17.816,17.961,18.872,18.732,18.461,19.014,19.786,20.141
122,500,2.378,2.825,3.058,3.558,3.962,4.65,5.254,5.708,6.192,6.458,7.34,8.01,9.098,9.841,10.635,11.706,12.102,13.796,14.024,14.483,14.757,15.003,16.285,15.984,16.076,16.939,17.608,18.478
123,500,592.704,641.339,704.642,739.202,807.572,865.379,932.65,1003.177,1088.45,1182.438,1306.526,1438.834,1561.12,1652.078,1758.489,1907.243,1940.78,2061.701,2145.955,2273.955,2378.048,2372.224,2479.03,2474.57,2495.421,2547.758,2636.326,2738.448
124,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,500,20.782,21.76,22.113,26.823,30.116,33.544,36.23,38.518,47.878,54.296,58.288,60.554,58.735,54.815,51.229,51.444,47.616,49.165,48.987,49.889,48.176,46.916,49.277,49.666,50.636,52.642,53.96,54.943
129,500,12.126,13.276,13.983,16.467,17.935,20.735,22.068,23.781,27.223,30.392,32.4,33.697,35.083,36.701,39.089,40.434,39.839,42.481,43.377,44.452,43.923,43.336,45.931,44.543,44.475,46.304,47.866,48.994
130,500,35.68,39.683,42.368,52.379,56.524,67.637,76.439,85.985,98.442,106.41,117.866,128.582,143.975,157.779,175.176,191.14,189.306,206.174,211.972,220.392,221.415,221.977,234.363,229.883,228.558,236.126,243.248,250.241
131,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
