NAICS,Description,1987,1992,1997,2002,2007,2012,2017,Energy Type
211111,Crude Petroleum and Nat. Gas,,28999.2,29577.576,26926.558,21512.516,34084.869,24676.154,Electricity
,,,,,,,,0,Electricity
211112,Natural Gas Liquid Extraction,,2942.8,3220.91,2764.113,2298.6,3148.294,13431.294,Electricity
,,,,,,,,0,Electricity
212111,"Bituminous, surface",,4809.1,4203.877,3698.491,4070.984,3891.986,2428.47,Electricity
212112,"Bituminous, underground",,7646.9,7061.319,6287.072,7317.272,8030.068,6793.613,Electricity
212113,Anthracite,,120.9,89.914,48.854,59.512,97.159,54.027,Electricity
,,,,,,,,,Electricity
212210,Iron Ore,,7287.5,6233.554,7164.253,7182.445,7000,6300.444,Electricity
212221,Gold Ore,,3146.8,4479.792,2692.819,4225.193,7154.628,7776.033,Electricity
212222,Silver Ore,,103.8,167.511,111.535,128.535,321.784,134.802,Electricity
212231,Lead & Zinc Ore,,552.8,461.747,437.091,1401.103,889.52,980.459254,Electricity
212234,Copper & Nickel,,6594.9,7779.128,4775.1,5169.637,5246.712,5783.104746,Electricity
212291,Uranium/Radium/Vanadium,,138,99.045,123.476,161.873,170,124.242,Electricity
212299,All Other Metal Ores ,,696.1,819.21,805.199,1690.519,1139.514,469.47,Electricity
,,,,,,,,,Electricity
212311,Dimension Stone Mining,,43,76.335,150.868,90.605,61.809,128.006,Electricity
212312,Crushed and Broken Limestone,,2332.8,3156.91,3554.863,4675.962,2947.122,3220.418,Electricity
212313,Crushed and Broken Granite,,580,748.736,787.309,973.107,545.497,699.354,Electricity
212319,Other Crushed and Broken Stone,,626.6,722.241,635.039,885.488,422.024,544.724,Electricity
212321,Construction Sand and Gravel,,2156.1,2525.053,2682.961,2246.214,1152.43,1999.088,Electricity
212322,Industrial Sand Mining,,525.7,560.091,628.958,826.597,773.231,951.925,Electricity
212324,Kaolin & Ball Clay,,860.2,1112.667,1002.681,846.241,753.513,890.061,Electricity
212325,Clay,,458.8,434.277,433.47,465.663,369.722,373.406,Electricity
212391,"Potash, Soda, & Borate",,1569.7,1317.1,1147.391,1017.774,1458.575,986.164,Electricity
212392,Phosphate Rock,,2860.6,2932.558,2685.043,3349.643,2648.06423,2686.387,Electricity
212393,Other Chem. & Fertilizer Minerals,,293.7,212.685,193.2873403,268.29,255.9893887,223.002,Electricity
212399,All Other Nonmetallic Minerals,,463.7,417.239,421.9803523,536.552,373.7777978,338.851,Electricity
,,,,,,,,,Electricity
213111,Drilling Oil and Gas Wells,,178.9,235.719,572.351,741.595,277.362,1840.495,Electricity
213112,Support Activities for Oil and Gas ,,955,1348.058,585.114,1572.079,1320.367,6545.885,Electricity
,Oil and Gas Field Exploration Services (1382),,126.3,0,0,0,0,,Electricity
,Oil and Gas Field Services (1389),,828.7,0,0,0,0,,Electricity
213113,Support Activities for Coal Mining,,94.6,123.48,168.596,382.808,157.711,144.398,Electricity
213114,Support Activities for Metal Mining,,42.8,21.911,29.605,143.853,105.493,72.338,Electricity
213115,Support Activities for Nonmetallic Minerals,,23.4,32.545,61.62,31.55,34.268,51.037,Electricity
211111,Crude Petroleum and Nat. Gas,362.2012243,283.6440574,272.1627239,210.5100874,203.2994958,238.2698788,542.8312105,Fuels
,,,,,,,,,Fuels
211112,Natural Gas Liquid Extraction,59.91794148,88.17860018,72.34676405,137.1475448,58.3470739,45.78801268,193.2541077,Fuels
,,,,,,,,0,Fuels
212111,"Bituminous, surface",80.54377736,79.84739573,71.86557059,55.05788031,70.64287762,83.81067959,48.29214195,Fuels
212112,"Bituminous, underground",9.843630612,12.57950729,8.955183515,6.56167289,12.61987969,14.26132035,15.43621094,Fuels
212113,Anthracite,1.487892165,1.171580158,1.143031435,0.360363978,0.406222136,0.550817895,0.659700123,Fuels
,,,,,,,,0,Fuels
212210,Iron Ore,28.08488193,37.56238136,45.09954848,28.54853388,39.02391673,38.76707864,57.80937131,Fuels
212221,Gold Ore,7.364914725,20.12983499,27.8703482,15.84300846,15.43916582,129.9646415,142.9611057,Fuels
212222,Silver Ore,1.18550613,0.652173913,0.786043353,0.532902544,0.461752068,1.213382723,0.606691361,Fuels
212231,Lead & Zinc Ore,0.861745084,3.485610288,3.649656093,2.629794153,5.380052479,3.415640592,5.097578744,Fuels
212234,Copper & Nickel,22.87380083,14.58621392,20.34292256,16.11158341,20.23474699,22.64107739,42.71419683,Fuels
212291,Uranium/Radium/Vanadium,1.525737478,1.25569436,0.536048395,0.303546247,0.312489191,0.3,0.573144693,Fuels
212299,All Other Metal Ores ,1.904194585,1.817966906,2.565337233,2.061168033,6.220575221,6.416196315,3.831300103,Fuels
,,,,,,,,,Fuels
212311,Dimension Stone Mining,0.673028604,0.471439444,0.57654347,0.854294307,0.741497182,0.587539265,1.049501447,Fuels
212312,Crushed and Broken Limestone,34.87367567,31.86479814,30.40427929,32.71321413,34.09657042,26.76215952,34.23916892,Fuels
212313,Crushed and Broken Granite,5.00724205,5.084476468,7.383360488,8.072826893,9.087079819,4.299198994,7.096538934,Fuels
212319,Other Crushed and Broken Stone,10.7126537,10.61621951,9.420060622,9.034462966,10.49650064,7.590770855,6.810458395,Fuels
212321,Construction Sand and Gravel,25.82357221,23.54624472,30.07896001,20.67277744,21.44562239,14.21606565,14.81487556,Fuels
212322,Industrial Sand Mining,9.952757974,9.004271758,8.451016034,7.373297956,7.96749531,8.248214327,12.53764854,Fuels
212324,Kaolin & Ball Clay,16.14920023,17.46747622,17.48527607,15.01556125,13.59770202,16.49197946,11.81066143,Fuels
212325,Clay,15.58712729,17.80114765,15.68290352,13.99858161,8.878062894,10.55281274,10.79098103,Fuels
212391,"Potash, Soda, & Borate",72.06698838,59.96369656,74.13642758,57.63188868,46.88381396,74.00439897,34.69472571,Fuels
212392,Phosphate Rock,6.480180759,5.146350037,3.4129257,2.967447892,1.612031727,2.388313918,3.676496953,Fuels
212393,Other Chem. & Fertilizer Minerals,20.71064727,26.15196137,0.804100901,0.92320625,1.376660457,1.074347626,1.136825749,Fuels
212399,All Other Nonmetallic Minerals,10.08267725,8.740504401,7.004442494,9.462683634,5.150919179,6.099328193,6.251929695,Fuels
,,,,,,,,,Fuels
213111,Drilling Oil and Gas Wells,29.01703416,36.42210256,47.454207,20.41811794,22.94992213,24.03178971,11.75459064,Fuels
213112,Support Activities for Oil and Gas ,37.95945323,37.93492027,41.66499969,38.40445901,63.26730106,110.7539126,123.8865142,Fuels
,Oil and Gas Field Exploration Services (1382),5.215654115,5.351896918,0,0,0,,,Fuels
,Oil and Gas Field Services (1389),32.74379912,32.58302335,0,0,0,,,Fuels
213113,Support Activities for Coal Mining,3.499703467,3.783739064,3.370300207,5.003446447,5.179046138,4.319338984,1.490834294,Fuels
213114,Support Activities for Metal Mining,2.263130745,2.491106268,1.195871643,0.807356635,2.67023573,1.423241909,0.948483258,Fuels
213115,Support Activities for Nonmetallic Minerals,2.318313133,2.037980258,1.755645833,5.074251798,2.93987298,1.408130919,1.022610701,Fuels
